,accelero,gyro,magneto,euler angles,quaternion,temperature
80,"(0.04, 0.18, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
81,"(0.03, 0.16, 9.44)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
82,"(0.03, 0.17, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
83,"(1.32, 0.17, 9.39)","(0.13962634015954636, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
84,"(0.02, 0.18, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
85,"(0.02, 0.19, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
86,"(0.04, 0.18, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
87,"(0.04, 0.16, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
88,"(0.03, 0.16, 9.39)","(0.13962634015954636, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
89,"(0.03, 0.18, 9.41)","(0.13962634015954636, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
90,"(0.03, 0.16, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
91,"(0.04, 0.18, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
92,"(0.03, 0.18, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
93,"(0.02, 0.17, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
94,"(0.03, 0.16, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
95,"(0.04, 0.15, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
96,"(1.33, 0.17, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
97,"(1.31, 0.16, 9.42)","(0.13962634015954636, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
98,"(0.05, 0.17, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
99,"(0.05, 0.15, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
100,"(0.02, 0.17, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
101,"(1.32, 0.17, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
102,"(0.02, 0.18, 9.39)","(0.13962634015954636, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
103,"(1.3, 0.18, 9.42)","(0.13962634015954636, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
104,"(0.04, 0.17, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
105,"(0.02, 0.16, 9.41)","(0.13962634015954636, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
106,"(0.03, 0.18, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
107,"(0.04, 0.18, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
108,"(0.03, 0.19, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0096435546875, 0.0)",29
109,"(0.03, 0.17, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
110,"(1.33, 0.15, 9.39)","(0.13962634015954636, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
111,"(0.05, 0.17, 9.39)","(0.13962634015954636, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
112,"(0.04, 0.17, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
113,"(0.02, 0.14, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
114,"(0.02, 0.18, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
115,"(0.02, 0.18, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
116,"(0.05, 0.16, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
117,"(1.33, 0.14, 9.44)","(0.13962634015954636, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
118,"(1.31, 0.18, 9.42)","(0.0, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
119,"(0.03, 0.16, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
120,"(0.04, 0.17, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
121,"(0.04, 0.14, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
122,"(0.03, 0.17, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
123,"(0.01, 0.18, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
124,"(0.02, 0.17, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
125,"(0.03, 0.17, 9.4)","(0.13962634015954636, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
126,"(0.03, 0.17, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
127,"(0.03, 0.18, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
128,"(0.03, 0.17, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
129,"(0.04, 0.17, 9.42)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
